Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.57E-05,0.00036971,0.081542,0,0,0,0.42135,0.00056075,-1.247E-06,2.5154E-06,0.00080543,-7.8447E-08,0.00081249,0,0,0,0,0,0,package://hand_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/base_link.STL,,4-1;1-1;2-1;rotawrist1-1;rotawrist2-1;1-2,"Base Coordinate ",,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.00018823,-7.0778E-05,0.006205,0,0,0,0.01051,1.3884E-06,-9.6777E-09,1.1461E-08,2.7578E-06,-7.3181E-09,3.4267E-06,0,0,0,0,0,0,package://hand_urdf/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_1.STL,,rotawrist3-1,Coordinate System1,Axis1,joint_1,revolute,-0.0092782,0.0004297,0.2804,0,0,3.1416,base_link,0,0,1,1.47,1,0,6.28,,,,,,,,
link_2,0.047956,-0.00011481,0.012072,0,0,0,0.065188,2.4387E-05,3.1859E-07,-1.5646E-05,7.9044E-05,6.6163E-08,5.796E-05,0,0,0,0,0,0,package://hand_urdf/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_2.STL,,largewrist-1,Coordinate System2,Axis2,joint_2,revolute,-0.0057655,-2.3696E-05,0.018503,0,-1.5708,0,link_1,0,0,1,0.588,1,-3.14,3.14,,,,,,,,
link_3,-0.015159,-0.00030686,0.012579,0,0,0,0.010696,1.0275E-06,-5.1813E-09,-9.0665E-08,1.1917E-06,7.2066E-09,7.7781E-07,0,0,0,0,0,0,package://hand_urdf/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_3.STL,,thump6-1;Thump1-1,Coordinate System3,Axis3,joint_3,revolute,0.031337,0,0.034751,0,1.4877,0,link_2,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_8,-0.015023,0.0090258,0.005,0,0,0,0.0058999,3.5157E-07,1.7362E-08,-4.4956E-14,3.7039E-07,-5.2708E-13,2.9572E-07,0,0,0,0,0,0,package://hand_urdf/meshes/link_8.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_8.STL,,thump4-1;thump3-1,Coordinate System18,Axis18,joint_8,revolute,-0.034598,-0.0015598,0.018449,0.63363,0.56445,0.32635,link_3,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_9,-0.012918,-0.0050672,-0.0032528,0,0,0,0.0043152,1.9054E-07,-1.5389E-08,4.1698E-11,1.8634E-07,-5.2172E-11,2.1466E-07,0,0,0,0,0,0,package://hand_urdf/meshes/link_9.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_9.STL,,thump2-1;thump0-1,Coordinate System19,Axis19,joint_9,revolute,-0.025274,0.012384,0.00175,-3.1416,0,0,link_8,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_4,0.019365,0.0001012,-0.014335,0,0,0,0.017142,1.9362E-06,-3.2751E-08,1.0482E-06,3.9678E-06,2.765E-08,2.8681E-06,0,0,0,0,0,0,package://hand_urdf/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_4.STL,,smallwrist2-1,Coordinate System4,Axis4,joint_4,revolute,0.030226,0,-0.028427,3.1416,0.88174,0,link_2,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_10,0.015019,-0.00071389,-0.00362,0,0,0,0.0027236,8.9581E-08,2.492E-09,-4.5585E-13,1.3857E-07,2.4337E-13,1.2053E-07,0,0,0,0,0,0,package://hand_urdf/meshes/link_10.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_10.STL,,auriculaire4-2;auriculaire3-1,Coordinate System6,Axis6,joint_10,revolute,0.047022,-0.0003,-0.027283,0,0.62762,0,link_4,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_11,0.0090515,-0.00077922,-0.0035425,0,0,0,0.0017535,3.7917E-08,-4.194E-09,6.6578E-13,4.5701E-08,-2.5517E-13,4.4716E-08,0,0,0,0,0,0,package://hand_urdf/meshes/link_11.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_11.STL,,auriculaire5-1;auriculaire6-1,Coordinate System7,Axis7,joint_11,revolute,0.030505,0.0010814,-7.7625E-05,0,0,0,link_10,0,0,-1,0.588,1,0,1.57,,,,,,,,
link_12,0.009388,2.9411E-05,-0.0027088,0,0,0,0.0014242,2.5902E-08,2.0689E-09,2.0586E-11,3.2645E-08,5.227E-12,3.4057E-08,0,0,0,0,0,0,package://hand_urdf/meshes/link_12.STL,1,1,1,1,0,0,0,0,0,0,package://hand_urdf/meshes/link_12.STL,,auriculaire2-1;auriculaire1-1,Coordinate System8,Axis8,joint_12,revolute,0.019171,0.00041675,-0.0008335,0,0,0,link_11,0,0,-1,0.588,1,0,1.57,,,,,,,,
